antu-icon-theme-git r103.edf89e7-2
appset-qt 0.7.2-6
aptana-studio 3.6.1-3
archdroid-icon-theme r94.69a594d-1
archlinux-themes-sddm 2.0-1
artwork-maia 23235fa-1
atom-editor 1.7.2-1
atom-editor-beta 1.8.0.2-1
blockify 3.6.1-1
brackets 1.6-1
broadcom-wl-dkms 6.30.223.271-6
clarity-icon-theme 0.4.2-1
clipper 2.1.20150701-2
codelite 9.1-1
coot 0.8.2-2
cower 16-1
eclipse-goclipse 0.14.1-1
eflete 0.6.1-1
faba-icon-theme-git 303.6f1cea3-1
faba-mono-icons-git 97.dceb7ab-1
fftw2-float 2.1.5-1
flatplat-theme 1:3.20.20160404-1
focuswriter 1.5.5-1
franz 0.9.10-3
gcc-gcj-ecj 4.9-1
gem2arch 0.11-1
geoclue 0.12.99-2
gitbook-editor 5.0.5-1
gitkraken 1.2.0-1
glew1.10 1.10.0-1
google-chrome 50.0.2661.86-1
google-earth 7.1.4.1529-1
gscan2pdf 1.4.0-1
guile1.8-gtk 2.1-4
guile1.8-gui 0.3-4
guile1.8-lib 0.2.2-3
gvim-gtk3 7.4.1786-1
gyp-git 2078.28340b4-1
kazam 1.4.5-5
komodo-edit 9.3.2_16460-1
latexila 3.20.0-2
ld-lsb 3-7
leiningen 1:2.6.1-3
libccp4 6.5.1-1
libcurl-compat 7.48.0-1
libgcrypt15 1.5.4-4
libpng12 1.2.56-3
libssm 1.4.0-1
libudev.so.0 0.1.1-3
mac-white-theme 2016.02-1
maia-gtk-theme f4ea22a-1
maia-icon-theme 23235fa-1
maia-wallpaper 23235fa-1
masalla-icon-theme 0.9-1
menda-circle-icon-theme-git r6.19d251b-1
messengerfordesktop v1.4.3-1
mine-yosemite 1.0-1
mmdb2 2.0.5-1
moka-icon-theme-git 402.edba158-1
nitrux-icon-theme 3.5.3-1
nodejs-acorn 3.0.4-1
nodejs-acorn-globals 2.0.0-1
nodejs-addr-to-ip-port 1.4.2-1
nodejs-ansi-regex 2.0.0-1
nodejs-asap 2.0.3-1
nodejs-async 2.0.0_rc.2-1
nodejs-balanced-match 0.3.0-1
nodejs-bencode 0.9.0-1
nodejs-bitfield 1.1.2-1
